#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
1	ул. Московская, д. 15, Назрань	1961	Нет	4 313.40
195	ул. Московская, д. 2, стр. 1963, Назрань	1963	Да	1	2	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
196	ул. Московская, д. 6, стр. 1959, Назрань	1959	Да	1	2	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
197	ул. Московская, д. 7, стр. 2012, Назрань	2012	Нет	3	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
198	ул. Московская, д. 10, стр. 1963, Назрань	1963	Нет	2	2	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
199	ул. Московская, д. 11, стр. 1977, Назрань	1977	Нет	2	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
200	ул. Московская, д. 15, стр. 1961, Назрань	1961	Нет	4	4	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
201	ул. Московская, д. 17, стр. 1974, Назрань	1974	Нет	6	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
202	ул. Московская, д. 21, стр. 1978, Назрань	1978	Нет	4	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
203	ул. Московская, д. 22б, стр. 2004, Назрань	2004	Нет	6	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
204	ул. Московская, д. 23, стр. 1978, Назрань	1978	Нет	10	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
205	ул. Московская, д. 25, стр. 1985, Назрань	1985	Нет	10	5	Многоквартирный дом
#	Адрес	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
206	ул. Московская, д. 27, стр. 1985, Назрань	Нет	6	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
207	ул. Московская, д. 29, стр. 1979, Назрань	1979	Нет	4	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
208	ул. Московская, д. 41, стр. 2003, Назрань	2003	Нет	10	6	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
209	пр-кт. Базоркина, д. 3, стр. 1964, Назрань	1964	Да	3	4	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
210	пр-кт. Базоркина, д. 4а, стр. 2007, Назрань	2007	Нет	2	4	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
211	пр-кт. Базоркина, д. 5, стр. 1963, Назрань	1963	Нет	3	4	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
212	пр-кт. Базоркина, д. 7, стр. 2012, Назрань	2012	Нет	3	5	Многоквартирный дом
#	Адрес	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
213	пр-кт. Базоркина, д. 8, стр. 1982, Назрань	Нет	6	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
214	пр-кт. Базоркина, д. 8а, стр. 1995, Назрань	1995	Нет	6	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
215	пр-кт. Базоркина, д. 10, стр. 1974, Назрань	1974	Нет	5	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
216	пр-кт. Базоркина, д. 16, стр. 1976, Назрань	1976	Нет	4	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
217	пр-кт. Базоркина, д. 44, стр. 1975, Назрань	1975	Нет	4	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
218	пр-кт. Базоркина, д. 48, стр. 2008, Назрань	2008	Нет	2	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
219	пр-кт. Базоркина, д. 50, стр. 2008, Назрань	2008	Нет	2	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
220	пр-кт. Базоркина, д. 76, стр. 2010, Назрань	2010	Нет	2	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
221	пр-кт. Базоркина, д. 78, стр. 1962, Назрань	1962	Нет	2	2	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
222	ул. Магистральная, д. 43, стр. 2012, Назрань	2012	Нет	2	4	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
223	ул. Магистральная, д. 45, стр. 2012, Назрань	2012	Нет	2	4	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
224	ул. Магистральная, д. 49, стр. 2009, Назрань	2009	Нет	4	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
225	ул. Корецкого, д. 1, стр. 1970, Назрань	1970	Да	2	2	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
226	ул. Грейдерная, д. 2, стр. 1962, Назрань	1962	Нет	1	2	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
227	ул. Грейдерная, д. 6, стр. 1962, Назрань	1962	Нет	1	2	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
228	ул. Грейдерная, д. 8, стр. 1962, Назрань	1962	Да	1	2	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
229	ул. Грейдерная, д. 10, стр. 1962, Назрань	1962	Да	1	2	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
230	ул. Грейдерная, д. 12, стр. 1962, Назрань	1962	Да	1	2	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
231	ул. Пионерская, д. 2, стр. 1962, Назрань	1962	Да	1	2	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
232	ул. Нурадилова, д. 12, стр. 1970, Назрань	1970	Да	3	2	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
233	г. Назрань, ул. Новая, д. 18, стр. 2013	2013	Нет	4	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
234	ул. Поляничко, д. 6, стр. 2013, Назрань	2013	Нет	2	3	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Тип дома	Несущие стены	Перекрытия
235	ул. К.Кулиева, д. 35, к. 1, Магас	2014	Нет	3	4	2 782.00	1 081.00	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь нежилых помещений м2	Тип дома
236	ул. К.Кулиева, д. 37, к. 2, Магас	2014	Нет	3	4	1 081.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь нежилых помещений м2	Тип дома	Несущие стены	Перекрытия
237	ул. К.Кулиева, д. 39, к. 3, Магас	2014	Нет	3	4	1 081.00	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей
238	ул. К.Кулиева, д. 41, к. 4, Магас	2014	Нет	3	4
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь нежилых помещений м2	Несущие стены	Перекрытия
239	ул. К.Кулиева, д. 43, к. 5, Магас	2014	Нет	3	4	1 081.00	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома
240	ул. Первомайская, д. 6, Малгобек	1951	Нет	8	Не присвоен	2	2	2	280.64	220.40	204.40	1 046.00	-	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома
241	ул. Осканова, д. 13а, Малгобек	1971	Нет	70	5	5	5	2 349.60	1 823.60	1 683.60	1 610.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома
242	ул. Осканова, д. 6а, Малгобек	1968	Нет	41	3	5	5	1 280.30	907.30	855.30	1 308.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома
243	ул. Осканова, д. 5, Малгобек	1982	Нет	68	6	5	5	2 163.50	1 890.50	1 805.70	1 584.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома
244	ул. Нурадилова, д. 73а, Малгобек	1966	Нет	32	2	4	4	981.10	700.20	676.20	1 034.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома
245	ул. Нурадилова, д. 71а, Малгобек	1966	Нет	32	2	4	4	969.20	636.60	588.60	1 046.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома
246	ул. Гоголя, д. 38, Малгобек	2011	Нет	50	10	5	5	4 848.00	1 462.00	1 212.00	3 663.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома
247	г. Малгобек, ул. Гарданова, д. 27а	2011	Нет	55	5	5	5	3 322.40	960.00	830.00	1 295.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома
248	ул. Базоркина, д. 53, Малгобек	2011	Нет	48	4	5	5	5 779.90	1 333.40	1 085.40	830.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома
249	ул. Базоркина, д. 55, Малгобек	1957	Нет	30	2	5	5	967.40	950.60	934.60	583.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома
250	ул. Базоркина, д. 75а, Малгобек	1964	Нет	8	2	2	2	242.40	304.00	168.30	776.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома
251	ул. Базоркина, д. 64а, Малгобек	1963	Нет	12	1	3	3	399.00	259.90	241.90	640.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома
252	ул. Базоркина, д. 60а, Малгобек	1963	Нет	12	1	3	3	396.30	164.00	640.00	Многоквартирный дом
#	Адрес	Дом признан аварийным
253	ул. Базоркина, д. 64, к. а, Малгобек	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
254	ул. Этуша, д. 5, Малгобек	1957	Нет	8	2	2	2	254.00	жилой дом	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Отсутствует	Центральное	Центральное
#	Адрес	Дом признан аварийным
255	ул. Вокзальная, д. 5, Карабулак	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
256	ул. Московская, д. 13, Назрань	1963	Нет	2	4	Многоквартирный дом
#	Адрес	Дом признан аварийным
257	ул. Московская, д. 7, Назрань	Нет
#	Адрес	Дом признан аварийным
258	ул. Московская, д. 5, Назрань	Нет
#	Адрес	Дом признан аварийным
259	"ул. Осканова, д. 136 ""а"", Карабулак"	Нет
#	Адрес	Дом признан аварийным
260	пр-кт. Базоркина, д. 9, Назрань	Нет
#	Адрес	Дом признан аварийным
261	пр-кт. Базоркина, д. 82, Назрань	Нет
#	Адрес	Дом признан аварийным
262	ул. Джабагиева, д. 16, Карабулак	Нет
#	Адрес	Дом признан аварийным
263	ул. Нефтяная, д. 11, Карабулак	Нет
#	Адрес	Дом признан аварийным
264	ул. Магистральная, д. 43, Назрань	Нет
#	Адрес	Дом признан аварийным
265	ул. Магистральная, д. 45, Назрань	Нет
#	Адрес	Дом признан аварийным
266	ул. Советская, д. 2, Назрань	Нет
#	Адрес	Дом признан аварийным
267	ул. Промысловая, д. 13, Карабулак	Нет
#	Адрес	Дом признан аварийным
268	ул. Петрова, д. 6, Малгобек	Нет
#	Адрес	Дом признан аварийным
269	ул. Базоркина, д. 58, Малгобек	Нет
#	Адрес	Дом признан аварийным
270	ул. Нурадилова, д. 62, Малгобек	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
271	ул. Нурадилова, д. 65, Малгобек	1957	Да	264.00	Многоквартирный дом	Автономное
#	Адрес	Дом признан аварийным
272	ул. Школьная, д. 8, Малгобек	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
273	ул. Осканова, д. 13, Малгобек	1971	Нет	64	5	5	5	2 160.00	1 650.00	1 510.00	1 610.00	Многоквартирный дом	Автономное
#	Адрес	Дом признан аварийным
274	ул. Демченко, д. 5, Сунжа	Нет
#	Адрес	Дом признан аварийным
275	ул. Гагарина, д. 1, Сунжа	Нет
#	Адрес	Дом признан аварийным
276	ул. Осканова, д. 13, к. а, Малгобек	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
277	ул. Осканова, д. 6, Малгобек	1964	Нет	36	3	4	4	1 830.00	752.30	700.30	1 314.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
278	ул. Осканова, д. 4, Малгобек	1965	Нет	32	2	4	4	981.70	583.50	571.30	1 619.00	Многоквартирный дом	Автономное
#	Адрес	Дом признан аварийным
279	ул. Московская, д. 15, Назрань	Нет
#	Адрес	Дом признан аварийным
280	ул. Московская, д. 17, Назрань	Нет
#	Адрес	Дом признан аварийным
281	с. Армхи, ул. Д.Льянова, д. 64, Джейрах	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
282	ул. Гарданова, д. 29а, Малгобек	2011	Нет	46	4	5	5	1 468.30	1 611.30	1 491.30	1 985.00	Многоквартирный дом	Автономное
#	Адрес	Дом признан аварийным
283	ул. Базоркина, д. 49, Малгобек	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
284	ул. Базоркина, д. 43а, Малгобек	2013	Нет	48	3	4	4	3 008.00	812.00	740.00	960.00	Многоквартирный дом	Автономное
#	Адрес	Дом признан аварийным
285	ул. Поляничко, д. 6, Назрань	Нет
#	Адрес	Дом признан аварийным
286	ул. Карецкого, д. 2, Назрань	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома
287	ул. Джабагиева, д. 17, Карабулак	1961	Да	2	2	442.88	2 228.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома
288	ул. Джабагиева, д. 12, Карабулак	1958	Да	2	2	306.80	619.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома
289	ул. Джабагиева, д. 13, Карабулак	1958	Да	2	2	306.80	619.00	Многоквартирный дом
#	Адрес	Дом признан аварийным
290	ул. Осканова, д. 61, Сунжа	Нет
#	Адрес	Дом признан аварийным
291	ул. Рабочая, д. 38, Карабулак	Нет
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Газоснабжение
292	ул. Ростовская, д. 34, Троицкая	2014	Есть	Да	36	Не присвоен	2	4	1	1 889.00	0.00	96.00	1 800.00	100.00	кирпичный	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома
293	ул. Шоссейная, д. 2, Троицкая	1971	Нет	3	2	1 470.00	4 034.00	Многоквартирный дом
#	Адрес	Дом признан аварийным
294	ул. Московская, д. 6, Назрань	Нет
#	Адрес	Дом признан аварийным
295	ул. Московская, д. 2, Назрань	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома
296	ул. Джабагиева, д. 14, Карабулак	1958	Да	2	2	565.00	619.00	Многоквартирный дом
#	Адрес	Дом признан аварийным
297	пр-кт. Базоркина, д. 20, Назрань	Нет
#	Адрес	Дом признан аварийным
298	ул. Пионерская, д. 2, Назрань	Нет
#	Адрес	Дом признан аварийным
299	ул. Нурадилова, д. 12, Назрань	Нет
#	Адрес	Дом признан аварийным
300	ул. Д.Льянова, д. 10, к. а, Джейрах	Нет
#	Адрес	Дом признан аварийным
301	с. Армхи, ул. Д.Льянова, д. 54, к. а, Джейрах	Нет
#	Адрес	Дом признан аварийным
302	ул. Джабагиева, д. 15, Карабулак	Нет
#	Адрес	Дом признан аварийным
303	ул. Висаитова, д. 104, Сунжа	Нет
#	Адрес	Дом признан аварийным
304	ул. Висаитова, д. 98, Сунжа	Нет
#	Адрес	Дом признан аварийным
305	ул. Демченко, д. 81, Сунжа	Нет
#	Адрес	Дом признан аварийным
306	пр-кт. Базоркина, д. 8а, Назрань	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
307	пр-кт. Базоркина, д. 46, Назрань	1995	Нет	5	5	Многоквартирный дом
#	Адрес	Дом признан аварийным
308	ул. Осканова, д. 29, Малгобек	Нет
#	Адрес	Дом признан аварийным
309	ул. Петрова, д. 6, к. а, Малгобек	Нет
#	Адрес	Дом признан аварийным
310	ул. Нурадилова, д. 62, к. а, Малгобек	Нет
#	Адрес	Дом признан аварийным
311	ул. 105 Массив, д. 8, Назрань	Нет
#	Адрес	Дом признан аварийным
312	ул. Менделеева, д. 48, к. 1, Сунжа	Нет
#	Адрес	Дом признан аварийным
313	мкр. Новый, д. 2, Яндаре	Нет
#	Адрес	Дом признан аварийным
314	мкр. Новый, д. 3, Яндаре	Нет
#	Адрес	Дом признан аварийным
315	мкр. Новый, д. 4, Яндаре	Нет
#	Адрес	Дом признан аварийным
316	мкр. Новый, д. 19, Яндаре	Нет
#	Адрес	Дом признан аварийным
317	мкр. Новый, д. 14, Яндаре	Нет
#	Адрес	Дом признан аварийным
318	мкр. Новый, д. 15, Яндаре	Нет
#	Адрес	Дом признан аварийным
319	мкр. Новый, д. 16/17, Яндаре	Нет
#	Адрес	Дом признан аварийным
320	мкр. Новый, д. 18, Яндаре	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Крыша	Мусоропровод	Перекрытия	Фасад
321	г. Малгобек, ул. Шоссейная, д. 3	2014	Нет	24	Не присвоен	3	3	1	2 576.40	262.67	177.28	1 222.30	кирпичный	На счете регионального оператора	Специализированный жилищный фонд	1	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Квартирное (квартирный котел)	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен
#	Адрес	Дом признан аварийным
322	г. Малгобек, ул. Шоссейная, д. 5	Нет
#	Адрес	Дом признан аварийным
323	г. Малгобек, ул. Шоссейная, д. 7	Нет
#	Адрес	Дом признан аварийным
324	г. Малгобек, ул. Шоссейная, д. 9	Нет
#	Адрес	Дом признан аварийным
325	г. Малгобек, ул. Почтовая, д. 1	Нет
#	Адрес	Дом признан аварийным
326	г. Малгобек, ул. Почтовая, д. 2	Нет
#	Адрес	Дом признан аварийным
327	г. Малгобек, ул. Почтовая, д. 3	Нет
#	Адрес	Дом признан аварийным
328	г. Малгобек, ул. Почтовая, д. 5	Нет
#	Адрес	Дом признан аварийным
329	г. Малгобек, ул. Почтовая, д. 7	Нет
#	Адрес	Дом признан аварийным
330	г. Малгобек, ул. Центральная, д. 2	Нет
#	Адрес	Дом признан аварийным
331	г. Малгобек, ул. Центральная, д. 2, лит. а	Нет
#	Адрес	Дом признан аварийным
332	г. Малгобек, ул. Центральная, д. 4	Нет
#	Адрес	Дом признан аварийным
333	г. Малгобек, ул. Центральная, д. 6	Нет
#	Адрес	Дом признан аварийным
334	г. Малгобек, ул. Центральная, д. 8	Нет
#	Адрес	Дом признан аварийным
335	г. Малгобек, ул. Центральная, д. 10	Нет
#	Адрес	Дом признан аварийным
336	г. Малгобек, ул. Центральная, д. 12, лит. а	Нет
#	Адрес	Дом признан аварийным
337	г. Малгобек, ул. Центральная, д. 14	Нет
#	Адрес	Дом признан аварийным
338	ул. Героя России А.Котиева, д. 1, Малгобек	Нет
#	Адрес	Дом признан аварийным
339	ул. Героя России А.Котиева, д. 2, Малгобек	Нет
#	Адрес	Дом признан аварийным
340	ул. Героя России А.Котиева, д. 3, Малгобек	Нет
#	Адрес	Дом признан аварийным
